SCATS Number,NB_LATITUDE,NB_LONGITUDE,Date,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95
970,-37.8658025,145.0928075,10/1/2016,65.5,62.0,49.75,44.0,44.25,35.5,29.75,25.25,21.25,19.5,18.75,18.5,18.5,20.25,14.5,11.75,15.25,15.5,13.75,10.0,11.75,14.5,15.0,19.5,16.5,27.25,45.0,35.0,34.25,40.5,50.25,53.0,50.0,62.25,76.0,94.0,102.5,106.0,148.25,162.25,165.75,181.5,187.5,186.0,196.25,205.5,212.5,231.5,249.0,241.75,220.0,228.0,233.25,221.25,205.0,216.25,240.25,209.75,204.0,201.25,205.25,196.75,207.0,200.0,197.75,224.25,221.75,224.5,227.75,240.0,215.25,206.5,189.25,176.0,153.5,132.75,133.0,111.5,106.75,100.0,94.5,83.25,77.25,77.0,94.5,86.0,75.0,73.0,64.25,54.0,50.0,43.25,38.25,33.5,26.25,27.75
970,-37.8658025,145.0928075,10/2/2016,22.0,16.0,11.75,10.75,9.25,7.25,6.0,7.0,8.0,7.25,6.25,4.75,3.5,6.5,6.25,5.0,7.0,9.25,12.5,10.25,15.25,17.75,29.0,39.75,52.0,85.25,132.75,146.0,190.75,270.75,294.5,317.0,328.5,307.0,320.25,285.5,241.75,223.0,206.25,206.25,185.0,197.75,196.25,189.5,182.0,183.5,188.5,203.5,207.25,191.25,185.5,192.5,188.0,206.75,203.0,197.25,202.0,206.5,214.0,221.0,223.5,238.0,244.25,265.0,275.5,284.5,274.0,272.5,276.0,319.0,308.0,322.25,274.25,281.0,225.0,183.5,184.25,162.5,140.0,128.75,110.75,105.75,99.5,104.75,92.5,79.5,80.0,82.75,79.75,69.25,52.5,43.0,47.5,36.25,33.25,18.0
970,-37.8658025,145.0928075,10/4/2016,22.5,21.25,19.75,9.5,12.75,8.5,8.5,7.5,5.5,6.25,7.0,4.0,4.5,3.75,4.5,6.0,8.0,8.75,10.5,9.25,13.75,20.75,35.5,50.25,66.5,106.0,148.75,173.0,201.0,257.75,270.0,313.0,318.25,302.75,327.75,288.25,273.5,239.5,229.25,227.75,212.25,196.75,214.0,225.25,216.0,210.25,202.0,195.0,217.25,210.5,207.0,209.0,206.5,200.75,212.0,212.75,206.75,203.75,209.5,216.0,241.0,245.0,256.5,277.0,279.25,300.5,283.25,309.0,286.0,320.5,349.5,307.25,309.75,281.5,251.0,236.5,198.0,188.75,160.0,145.25,120.0,125.0,122.5,109.5,108.0,107.0,98.0,88.0,94.25,75.75,74.25,62.5,63.75,52.25,38.0,31.5
970,-37.8658025,145.0928075,10/5/2016,27.0,28.5,16.75,13.25,10.0,11.25,14.0,11.0,6.25,8.5,6.0,5.75,3.25,4.0,8.5,5.5,9.5,9.5,11.25,11.25,15.25,21.25,29.75,48.75,63.75,94.0,144.0,159.5,180.0,249.0,296.0,289.5,298.25,328.5,294.5,257.75,266.0,252.0,228.0,228.25,202.5,191.75,214.5,200.25,213.0,230.0,211.0,221.75,204.0,189.75,202.75,197.75,213.0,205.0,229.25,226.0,219.25,236.75,220.25,226.25,255.5,269.75,271.75,276.5,304.75,307.75,311.25,323.25,316.75,330.5,314.5,335.25,311.5,323.0,269.25,235.5,211.75,206.75,176.5,164.5,144.5,124.0,132.75,135.0,140.75,146.5,127.75,102.0,90.25,90.75,82.5,79.75,72.0,56.0,46.5,42.5
970,-37.8658025,145.0928075,10/6/2016,29.5,31.0,24.5,18.25,17.5,15.25,17.5,12.5,14.25,8.5,6.25,10.25,8.5,9.5,8.5,7.5,10.75,8.0,11.5,11.25,15.75,22.5,29.0,46.25,63.5,98.25,138.25,163.75,186.0,227.0,271.5,277.25,277.75,275.5,276.0,293.5,232.5,248.5,245.0,238.25,215.5,224.75,247.25,221.25,241.5,224.75,234.5,244.5,231.75,242.5,244.75,228.0,225.25,247.5,234.25,235.5,228.25,242.25,246.25,246.75,255.25,260.75,267.75,273.75,269.75,280.5,255.25,251.0,271.75,268.0,279.0,265.75,270.5,263.25,260.75,236.5,206.25,207.75,189.5,165.25,133.75,123.25,117.5,126.0,132.0,139.75,111.75,96.0,96.0,96.75,82.25,86.25,88.0,84.75,67.5,66.5
970,-37.8658025,145.0928075,10/7/2016,60.75,48.5,44.75,35.75,33.75,30.75,30.25,23.5,25.0,17.75,19.5,18.0,15.75,18.5,16.0,12.0,12.25,14.5,13.0,12.25,12.25,16.5,21.5,24.5,28.5,45.0,63.25,63.0,54.0,66.75,84.75,113.0,109.25,126.75,148.5,177.5,174.0,174.75,206.5,211.5,228.5,223.0,235.0,241.25,261.75,242.0,252.5,280.25,264.25,273.5,272.0,255.75,264.0,239.25,270.0,259.25,243.0,259.5,239.75,224.25,228.75,232.5,242.25,224.75,221.5,221.25,224.0,227.0,202.25,244.0,225.25,242.25,221.25,222.75,212.5,182.0,163.25,157.5,142.0,116.75,117.25,99.25,100.5,96.5,87.75,97.75,76.5,81.25,84.5,64.75,81.0,78.0,78.75,76.75,72.75,79.75
970,-37.8658025,145.0928075,10/8/2016,71.75,63.5,50.75,40.5,40.75,35.5,31.75,28.0,21.0,20.75,20.0,15.75,14.5,14.25,8.75,14.0,9.75,11.75,9.0,12.75,11.75,13.0,15.75,21.5,25.75,33.5,54.75,64.0,57.25,72.25,85.25,105.75,108.75,122.75,123.75,139.5,131.5,140.0,178.25,167.5,168.75,181.5,167.25,204.5,192.25,219.0,209.5,235.75,232.5,253.5,236.25,220.5,213.75,233.5,226.75,218.75,233.5,221.5,224.0,223.0,224.5,237.5,219.5,254.75,237.75,256.5,262.0,245.75,275.5,269.75,297.5,260.25,249.0,233.75,193.25,165.25,152.25,128.75,120.25,107.75,97.5,99.5,89.5,99.5,97.25,87.25,81.0,67.5,63.25,58.5,54.75,44.25,40.5,32.75,29.25,21.25
970,-37.8658025,145.0928075,10/9/2016,20.0,17.0,11.25,12.5,10.75,8.75,8.0,6.75,5.0,4.75,5.0,6.0,3.75,3.5,5.75,5.5,7.75,7.25,10.5,11.25,18.0,18.25,30.75,42.5,61.0,86.5,150.25,167.0,195.0,249.75,292.5,308.25,329.25,327.0,307.0,306.75,267.25,237.5,218.25,218.75,184.0,175.0,200.5,191.0,200.25,190.0,208.25,202.0,201.0,199.0,204.0,188.25,206.5,205.5,217.25,186.75,194.5,208.75,212.0,220.25,233.5,247.0,252.25,260.75,293.5,298.25,284.0,286.0,280.25,324.25,318.0,309.75,310.0,297.5,252.0,207.0,176.0,182.0,135.0,134.5,114.5,101.25,101.5,107.5,103.25,93.75,86.0,79.75,82.0,68.0,62.5,56.0,40.75,37.75,26.25,25.0
970,-37.8658025,145.0928075,10/10/2016,21.5,20.25,13.0,13.25,8.75,9.25,10.0,6.25,7.25,5.0,4.0,4.25,5.75,3.0,7.0,6.25,7.0,7.5,11.0,9.0,14.75,28.0,34.25,42.75,65.5,95.25,157.0,175.25,203.25,257.0,302.0,305.75,314.0,320.5,316.25,307.75,278.25,247.25,235.0,235.0,211.5,208.25,204.25,220.0,210.0,203.75,201.75,186.25,213.0,195.25,221.0,215.0,198.0,208.75,197.75,210.0,205.5,207.0,223.5,233.25,239.5,269.0,270.0,260.25,267.25,307.75,318.25,271.75,307.0,302.0,328.25,321.75,286.5,293.25,242.0,222.25,199.75,186.0,166.25,136.0,129.5,118.25,105.5,109.0,120.0,109.75,114.5,100.75,95.0,83.5,78.75,79.25,53.0,41.25,41.5,31.0
970,-37.8658025,145.0928075,10/11/2016,23.25,19.75,14.5,12.75,11.25,12.25,9.0,6.25,7.0,7.25,6.75,5.5,6.0,4.75,5.75,5.25,7.0,9.25,10.5,11.5,13.0,23.0,35.5,47.25,68.0,98.25,152.5,168.75,210.5,268.5,281.0,314.25,315.25,309.5,315.25,306.5,254.0,245.5,247.25,236.75,208.0,212.0,227.0,197.25,204.0,207.5,208.5,201.25,212.5,203.25,204.0,189.75,219.75,210.75,197.25,209.0,208.0,199.5,217.75,213.25,253.5,260.25,258.5,281.25,282.75,287.75,286.75,319.75,273.0,334.25,298.0,319.75,308.5,291.0,252.75,230.75,202.75,185.25,158.25,151.75,128.25,110.75,117.25,116.5,115.0,107.75,102.75,118.0,109.25,100.25,69.25,65.25,55.5,50.75,41.0,31.5
970,-37.8658025,145.0928075,10/12/2016,23.0,19.25,16.0,14.75,11.25,12.75,11.25,10.25,7.5,7.0,6.75,7.25,4.25,5.5,4.5,7.0,7.25,8.5,11.5,10.25,13.75,25.0,39.75,49.5,73.5,98.25,152.25,184.0,189.0,259.75,285.75,306.75,316.5,302.75,328.0,288.5,282.25,248.25,253.75,236.0,213.5,215.25,217.75,212.75,204.25,221.25,207.5,216.0,210.75,226.5,206.5,223.25,208.0,196.0,225.75,213.25,212.5,219.0,233.5,233.0,262.5,249.75,279.75,291.0,298.75,305.25,312.75,306.25,314.5,305.0,326.5,327.0,293.0,288.5,255.5,240.5,227.5,196.5,194.75,153.5,153.75,139.25,139.5,139.0,144.75,144.75,124.5,107.75,98.75,84.5,88.75,74.25,72.0,54.75,50.5,38.25
970,-37.8658025,145.0928075,10/13/2016,36.0,34.25,26.0,25.0,17.25,16.75,16.25,12.0,12.25,13.5,9.5,7.75,7.5,6.25,9.25,8.75,10.25,10.5,12.5,11.75,14.75,23.25,32.5,45.5,67.25,92.75,140.25,161.5,184.5,232.25,254.75,283.25,278.5,283.75,285.5,269.25,240.75,236.0,232.25,235.25,205.5,231.75,212.0,216.25,227.5,234.25,237.75,230.25,248.75,239.5,249.25,227.25,235.75,228.0,241.25,228.0,242.25,224.25,238.25,264.0,234.0,269.5,269.0,259.5,268.0,280.5,261.75,260.5,259.5,261.25,298.25,263.25,282.5,265.5,238.0,242.5,215.25,189.0,170.75,168.75,135.0,123.0,117.5,123.75,132.0,147.25,100.5,82.25,101.25,91.5,91.25,89.5,82.25,76.0,73.75,64.75
970,-37.8658025,145.0928075,10/14/2016,59.25,53.25,48.25,40.5,31.75,32.75,24.0,27.75,19.0,21.75,20.5,16.0,13.75,16.75,15.5,11.5,11.75,12.25,12.25,13.75,14.25,17.75,21.0,27.25,31.5,42.25,56.75,64.25,60.25,63.5,83.0,91.0,108.5,131.75,143.5,170.25,172.5,179.25,209.0,212.0,220.25,227.25,230.5,245.5,250.75,248.25,269.25,271.5,271.0,273.75,270.5,282.5,245.75,267.75,261.5,268.0,259.5,248.75,258.0,223.75,248.0,233.75,239.25,231.0,236.5,266.0,235.25,244.5,233.5,250.5,246.0,269.25,232.25,214.75,199.0,202.25,179.5,151.25,148.25,110.25,119.5,104.75,93.0,87.25,92.0,93.25,88.5,81.75,87.25,84.0,81.25,84.5,75.25,70.0,71.75,68.25
970,-37.8658025,145.0928075,10/15/2016,64.75,60.25,49.0,48.25,39.25,31.75,30.5,25.0,20.0,24.0,19.25,21.5,18.5,13.5,14.25,13.25,9.75,13.0,15.25,10.0,17.25,14.5,19.25,21.75,29.25,38.5,47.5,47.0,44.0,64.0,89.25,100.25,113.0,119.5,129.25,136.25,135.0,151.5,182.0,181.5,179.25,174.5,187.5,186.25,203.25,208.75,220.5,222.0,236.0,240.25,250.0,242.75,232.5,219.75,223.75,220.5,226.25,230.25,230.75,234.25,226.75,237.0,237.5,251.25,243.0,253.75,277.0,247.75,260.0,282.0,275.75,260.5,237.0,231.5,186.75,168.5,144.75,151.5,121.25,74.0,104.75,98.25,93.5,100.5,98.25,93.0,89.75,72.0,75.0,61.75,55.25,45.5,38.5,38.25,28.5,29.25
970,-37.8658025,145.0928075,10/16/2016,15.25,13.25,15.0,10.5,10.75,10.25,7.0,7.5,8.5,5.0,5.75,4.75,3.0,2.75,5.75,6.5,9.5,7.25,8.5,12.0,13.75,18.75,31.25,48.0,65.0,93.25,144.0,170.0,187.75,261.5,291.5,304.5,312.75,318.75,302.75,304.25,239.5,248.25,224.0,193.25,196.25,178.75,192.5,177.75,181.25,200.5,185.25,181.5,200.75,216.5,192.0,198.5,196.25,211.75,201.25,207.75,210.5,209.75,207.0,221.25,241.25,250.25,263.75,277.75,276.5,309.5,285.0,291.25,305.0,300.0,327.5,313.75,312.25,261.75,242.25,225.5,194.25,167.5,146.75,131.75,120.25,111.5,97.25,98.25,108.0,98.5,81.0,84.25,80.75,71.5,65.5,59.75,51.75,41.0,25.5,23.5
